id,synagogue_id,synagogue_name,street_address,city,state,zip_code,start_year,end_year,source,latitude,longitude,formatted_address,geocode_status
0f6e4cf8-ade3-4bb9-b9b7-6647d74387c7,ae7a1eb8-61a0-467e-8891-f92f934b3cc5,Shaare Shamayim ,23rd and Wharton Streets,Philadelphia,PA,19146,1936.0,1963.0,other_addresses,39.9360505,-75.18227999999999,"Wharton St & S 23rd St, Philadelphia, PA 19146, USA",OK
d3d89279-db98-43c6-9848-d25612bd856e,55794c9d-8a33-4a1b-8f61-ddd52c769aa3,Greater Northeast Jewish Congregation,Verree Road,Philadelphia,PA,,1963.0,1982.0,other_addresses,40.0881386,-75.0580527,"Verree Rd, Philadelphia, PA, USA",OK
bec9309a-c04a-4e01-8b84-248d9782c532,8cb3522f-508f-43fd-83e2-1f53b374563f,Shaare Shamayim-Beth Judah-Beth Tefilath Israel-Rodeph Zedek,9768 Verree Road,Philadelphia,PA,19115,1983.0,,other_addresses,40.0998457,-75.0451039,"9768 Verree Rd, Philadelphia, PA 19115, USA",OK
4962c739-6459-43d0-8db7-0a5537cfdc61,97db3692-2ee2-4688-a7f7-53350d70fe11,Shaare Tzedek,5301 Old York Road,Philadelphia,PA,19141,1988.0,2001.0,other_addresses,40.0338194,-75.1453341,"5301 Old York Rd, Philadelphia, PA 19141, USA",OK
40044654-4eb9-4d13-844b-8b3333975d84,d38adda1-efdb-48e1-bb74-28b9072be6d3,Shaareh Zion,520 Lombard Street,Philadelphia,PA,19147,1979.0,1983.0,other_addresses,39.9427305,-75.15152789999999,"520 Lombard St APT D, Philadelphia, PA 19147, USA",OK
754c0ee7-168e-4a74-9f1b-4c89f92e65aa,33995300-6f87-4cac-b30f-e56745a0b17b,Shaari Zedek,52nd and Columbia Avenue,Philadelphia,PA,19131,1936.0,,other_addresses,39.98050629999999,-75.22476999999999,"N 52nd St & W Columbia Ave, Philadelphia, PA 19131, USA",OK
7fa5d1fe-7c92-40a6-9a13-b3051281dd7c,97db3692-2ee2-4688-a7f7-53350d70fe11,Shaare Tzedek,51st Street and Columbia Avenue,Philadelphia,PA,19131,1950.0,1975.0,other_addresses,39.9795932,-75.2222469,"N 51st St & W Columbia Ave, Philadelphia, PA 19131, USA",OK
35a1243c-7e07-459e-8de6-4701669c95ff,246ba6ca-8162-475d-aa5f-dce09cccf716,Shar Israel Young People's Congregation,4th and Porter Streets,Philadelphia,PA,19148,1949.0,,other_addresses,39.917397,-75.154572,"4th St & Porter St, Philadelphia, PA 19148, USA",OK
7bd60b3b-f044-46b1-95de-564ceeeb067c,2de1916a-66aa-4e1c-ad3f-2937a35286ff,Sharei Israel,2509 South 4th Street,Philadelphia,PA,19148,1974.0,1977.0,other_addresses,39.9167029,-75.1540136,"2509 S 4th St, Philadelphia, PA 19148, USA",OK
b4d51573-2b75-42f9-ae33-3ffe6e6c57a4,dfed8c9b-21f2-49c5-bc3a-b3b31ada9adb,Shearit Israel - Northeast Sephardic Congregation,1603 Colima Road,Philadelphia,PA,19115,1983.0,1990.0,other_addresses,40.0793629,-75.04393139999999,"1603 Colima Rd, Philadelphia, PA 19115, USA",OK
